"Utility.Name","State"
"Clay-Union Electric Corp","South Dakota"
"Clarke Electric Coop Inc","Iowa"
"Town of Clayton","North Carolina"
"Town of Clayton","Delaware"
"Clearwater Power Company","Idaho"
"Clearwater Power Company","Oregon"
"Clearwater Power Company","Washington"
"Clay Electric Cooperative, Inc","Florida"
"City of Cleveland","Tennessee"
"City of Cleveland","Ohio"
"Clearwater-Polk Elec Coop Inc","Minnesota"
"City of Clewiston","Florida"
"Clinton Combined Utility Sys","South Carolina"
"Clinton County Elec Coop, Inc","Illinois"
"City of Clinton","Tennessee"
"City of Clintonville","Wisconsin"
"Clyde Light & Power","Ohio"
"Cloverland Electric Co-op","Michigan"
"Coahoma Electric Power Assn","Mississippi"
"Coast Electric Power Assn","Mississippi"
"Coastal Electric Member Corp","Georgia"
"Coastal Electric Coop, Inc","South Carolina"
"Codington-Clark Elec Coop, Inc","South Dakota"
"Columbia Power System","Tennessee"
"City of Cody","Wyoming"
"City of Coffeyville","Kansas"
"City of Colby","Kansas"
"Coldwater Board of Public Util","Michigan"
"Cobb Electric Membership Corp","Georgia"
"Coles-Moultrie Electric Coop","Illinois"
"Coleman County Elec Coop, Inc","Texas"
"City of College Park","Georgia"
"City of College Station","Texas"
"City of Colorado Springs","Colorado"
"City of Colton","California"
"Columbia Basin Elec Cooperative, Inc","Oregon"
"City of Columbia City","Indiana"
"Columbia Power Coop Assn Inc","Oregon"
"Calhoun County Elec Coop Assn","Iowa"
"Columbia Rural Elec Assn, Inc","Oregon"
"Columbia Rural Elec Assn, Inc","Washington"
"City of Columbia","Missouri"
"Co-Mo Electric Coop Inc","Missouri"
"City of Columbus","Ohio"
"City of Columbus","Mississippi"
"Columbus Electric Coop, Inc","Arizona"
"Columbus Electric Coop, Inc","New Mexico"
"City of Columbus","Wisconsin"
"Community Electric Coop","Virginia"
"Concho Valley Elec Coop Inc","Texas"
"Town of Concord","Massachusetts"
"City of Concord","North Carolina"
"Concordia Electric Coop, Inc","Louisiana"
"Callaway Electric Cooperative","Missouri"
"Consolidated Electric Coop","Missouri"
"Cooke County Elec Coop Assn","Texas"
"Continental Divide El Coop Inc","New Mexico"
"Conway Corporation","Arkansas"
"City of Cookeville","Tennessee"
"Comanche County Elec Coop Assn","Texas"
"Cookson Hills Elec Coop, Inc","Oklahoma"
"Coos-Curry Electric Coop, Inc","Oregon"
"Coosa Valley Electric Coop Inc","Alabama"
"Copper Valley Elec Assn, Inc","Alaska"
"Cooperative L&P Assn Lake County","Minnesota"
"Corn Belt Energy Corporation","Illinois"
"Cornhusker Public Power Dist","Nebraska"
"City of Corona","California"
"Cotton Electric Coop, Inc","Oklahoma"
"Covington Electric Coop, Inc","Alabama"
"Coweta-Fayette El Member Corp","Georgia"
"City of Covington","Georgia"
"City of Covington","Tennessee"
"PUD No 1 of Cowlitz County","Washington"
"Cozad Board of Public Works","Nebraska"
"Craig-Botetourt Electric Coop","Virginia"
"Craig-Botetourt Electric Coop","West Virginia"
"Crawfordsville Elec, Lgt & Pwr","Indiana"
"Craighead Electric Coop Corp","Arkansas"
"Crawford Electric Coop, Inc","Missouri"
"City of Crete","Nebraska"
"Crisp County Power Comm","Georgia"
"Crow Wing Cooperative Power & Light Comp","Minnesota"
"City of Crystal Falls","Michigan"
"City of Cuba City","Wisconsin"
"City of Cuero","Texas"
"Cullman Power Board","Alabama"
"Cullman Electric Coop, Inc","Alabama"
"Town of Culpeper- (VA)","Virginia"
"Cumberland Valley Electric, Inc.","Kentucky"
"Cumberland Valley Electric, Inc.","Tennessee"
